timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
17:05:58,0.14,-0.19,0.98,4.01,6.32,0.02
17:05:59,0.13,-0.20,1.00,4.07,6.34,0.02
17:06:00,0.15,-0.21,1.00,4.65,6.34,0.13
17:06:01,0.16,-0.21,1.01,5.44,6.29,0.05
17:06:02,0.16,-0.19,0.99,5.33,6.22,0.17
17:06:03,0.17,-0.18,1.00,5.02,6.24,0.07
17:06:04,0.15,-0.20,1.03,4.16,6.31,0.12
17:06:05,0.17,-0.21,1.03,3.74,6.20,0.14
17:06:06,0.13,-0.21,1.04,2.80,6.28,0.07
17:06:07,0.16,-0.21,1.01,2.36,6.37,0.15
17:06:08,0.14,-0.21,1.04,0.68,6.28,0.11
17:06:09,0.13,-0.22,1.05,-0.14,6.21,0.18
17:06:10,0.17,-0.20,1.04,-0.86,6.32,0.18
17:06:11,0.16,-0.21,1.06,-1.52,6.22,0.07
17:06:12,0.14,-0.19,1.06,-3.24,6.33,0.08
17:06:13,0.15,-0.21,1.07,-3.10,6.20,0.01
17:06:15,0.16,-0.21,1.07,-4.45,6.36,0.16
17:06:16,0.14,-0.20,1.07,-4.36,6.24,0.19
17:06:17,0.14,-0.20,1.05,-5.28,6.31,0.19
17:06:18,0.14,-0.21,1.06,-4.71,6.31,0.03
17:06:19,0.16,-0.18,1.06,-4.90,6.21,0.01
17:06:20,0.14,-0.19,1.10,-4.81,6.30,0.04
17:06:21,0.17,-0.22,1.09,-3.91,6.26,0.11
17:06:22,0.14,-0.21,1.09,-3.70,6.25,0.02
17:06:23,0.17,-0.19,1.07,-2.53,6.33,0.03
17:06:24,0.15,-0.18,1.10,-1.59,6.36,0.13
17:06:25,0.14,-0.20,1.09,-0.40,6.22,0.10
17:06:26,0.14,-0.22,1.11,0.19,6.37,0.01
17:06:27,0.14,-0.18,1.09,1.43,6.23,0.12
17:06:28,0.14,-0.19,1.09,2.71,6.34,0.03
17:06:29,0.14,-0.19,1.12,2.95,6.32,0.03
17:06:30,0.14,-0.21,1.11,3.70,6.22,0.19
17:06:31,0.17,-0.22,1.12,4.30,6.31,0.10
17:06:32,0.14,-0.21,1.10,4.36,6.35,0.18
17:06:33,0.14,-0.22,1.08,5.29,6.38,0.00
17:06:34,0.14,-0.20,1.10,5.37,6.26,0.08
17:06:35,0.15,-0.18,1.10,5.14,6.27,0.09
17:06:36,0.16,-0.20,1.09,4.11,6.23,0.05
17:06:37,0.15,-0.21,1.09,3.99,6.39,0.13
17:06:38,0.14,-0.20,1.09,3.15,6.20,0.03
17:06:39,0.17,-0.19,1.10,2.63,6.30,0.03
17:06:40,0.15,-0.21,1.10,0.78,6.32,0.17
17:06:41,0.15,-0.18,1.09,0.41,6.29,0.17
17:06:42,0.14,-0.20,1.08,-0.78,6.24,0.18
17:06:43,0.13,-0.19,1.09,-1.38,6.33,0.13
17:06:44,0.15,-0.22,1.09,-2.92,6.33,0.05
17:06:45,0.14,-0.22,1.07,-3.50,6.33,0.01
17:06:46,0.14,-0.20,1.10,-4.11,6.26,0.12
17:06:47,0.17,-0.19,1.09,-4.37,6.37,0.17
17:06:48,0.17,-0.19,1.07,-5.34,6.26,0.19
17:06:49,0.17,-0.18,1.09,-4.62,6.34,0.03
17:06:50,0.13,-0.18,1.08,-4.44,6.40,0.18
17:06:51,0.16,-0.20,1.04,-4.40,6.29,0.08
17:06:52,0.15,-0.22,1.05,-4.05,6.26,0.18
17:06:53,0.16,-0.20,1.04,-3.12,6.21,0.16
17:06:54,0.15,-0.22,1.04,-2.96,6.31,0.17
17:06:55,0.15,-0.18,1.05,-1.41,6.32,0.03
17:06:56,0.16,-0.20,1.04,-1.19,6.33,0.00
17:06:57,0.15,-0.18,1.02,0.52,6.33,0.00
17:06:58,0.15,-0.22,1.03,1.54,6.39,0.16
17:06:59,0.15,-0.21,1.02,1.91,6.30,0.02
17:07:00,0.16,-0.19,1.04,3.55,6.26,0.07
17:07:01,0.16,-0.20,1.03,4.22,6.35,0.15
17:07:02,0.14,-0.21,1.02,4.73,6.33,0.19
17:07:03,0.13,-0.20,0.99,4.44,6.39,0.05
17:07:04,0.16,-0.20,1.01,5.38,6.38,0.13
17:07:05,0.15,-0.21,1.01,4.74,6.37,0.07
17:07:06,0.15,-0.22,1.01,4.45,6.25,0.18
17:07:07,0.13,-0.20,0.99,4.85,6.27,0.15
17:07:08,0.16,-0.18,0.98,4.04,6.29,0.16
17:07:09,0.13,-0.18,0.98,2.65,6.24,0.06
17:07:10,0.17,-0.22,0.97,2.45,6.31,0.11
17:07:11,0.14,-0.18,0.99,1.32,6.34,0.02
17:07:12,0.14,-0.21,0.96,0.25,6.32,0.12
17:07:13,0.14,-0.21,0.96,-0.95,6.37,0.17
17:07:14,0.15,-0.18,0.94,-2.23,6.21,0.19
17:07:15,0.15,-0.19,0.97,-2.27,6.29,0.01
17:07:16,0.16,-0.19,0.96,-3.62,6.26,0.16
17:07:17,0.16,-0.18,0.94,-4.22,6.37,0.07
17:07:18,0.16,-0.19,0.95,-4.10,6.29,0.03
17:07:19,0.16,-0.22,0.94,-5.23,6.38,0.11
17:07:20,0.16,-0.20,0.93,-4.71,6.35,0.11
17:07:21,0.14,-0.18,0.91,-4.86,6.22,0.19
17:07:22,0.17,-0.21,0.94,-4.35,6.40,0.01
17:07:23,0.13,-0.19,0.93,-4.09,6.32,0.13
17:07:24,0.14,-0.20,0.91,-3.14,6.25,0.03
17:07:25,0.17,-0.20,0.93,-2.80,6.26,0.15
17:07:26,0.16,-0.22,0.90,-1.84,6.34,0.10
17:07:27,0.13,-0.21,0.90,-0.67,6.28,0.07
17:07:28,0.14,-0.21,0.89,0.53,6.37,0.11
17:07:29,0.14,-0.21,0.92,1.36,6.39,0.01
17:07:30,0.17,-0.20,0.92,2.40,6.37,0.19
17:07:31,0.17,-0.21,0.90,3.58,6.31,0.16
17:07:32,0.13,-0.19,0.91,3.46,6.27,0.13
17:07:33,0.13,-0.20,0.90,4.35,6.30,0.06
17:07:34,0.14,-0.18,0.89,5.08,6.34,0.10
17:07:35,0.16,-0.22,0.88,4.74,6.34,0.08
17:07:36,0.17,-0.21,0.91,4.86,6.40,0.18
17:07:37,0.15,-0.21,0.91,5.24,6.21,0.09
17:07:38,0.15,-0.22,0.89,4.75,6.28,0.14
17:07:39,0.16,-0.20,0.90,4.19,6.21,0.01
17:07:40,0.17,-0.21,0.92,3.44,6.39,0.07
17:07:41,0.16,-0.21,0.92,2.22,6.33,0.08
17:07:42,0.17,-0.20,0.92,1.21,6.32,0.12
17:07:44,0.15,-0.21,0.90,0.31,6.38,0.13
17:07:45,0.15,-0.20,0.90,-0.93,6.39,0.00
17:07:46,0.15,-0.22,0.90,-1.59,6.21,0.19
17:07:47,0.16,-0.22,0.92,-2.98,6.36,0.02
17:07:48,0.17,-0.19,0.90,-3.16,6.20,0.00
17:07:49,0.15,-0.21,0.93,-4.51,6.31,0.09
17:07:50,0.14,-0.21,0.94,-4.57,6.27,0.11
17:07:51,0.16,-0.21,0.94,-4.77,6.23,0.05
17:07:52,0.15,-0.22,0.93,-4.70,6.40,0.03
17:07:53,0.16,-0.20,0.93,-4.70,6.39,0.06
17:07:54,0.16,-0.19,0.92,-4.56,6.36,0.01
17:07:55,0.14,-0.19,0.96,-3.86,6.20,0.01
17:07:56,0.15,-0.18,0.96,-3.24,6.35,0.12
17:07:57,0.13,-0.21,0.95,-3.09,6.39,0.06
17:07:58,0.15,-0.19,0.97,-1.41,6.28,0.09
17:07:59,0.16,-0.20,0.94,-0.47,6.25,0.15
17:08:00,0.14,-0.19,0.95,-0.11,6.33,0.02
17:08:01,0.16,-0.21,0.98,1.36,6.27,0.20
17:08:02,0.13,-0.19,0.97,1.90,6.33,0.01
17:08:03,0.17,-0.19,0.99,3.44,6.33,0.05
17:08:04,0.14,-0.21,0.98,4.18,6.21,0.09
17:08:05,0.17,-0.19,1.00,4.79,6.26,0.05
17:08:06,0.16,-0.19,0.98,4.78,6.32,0.18
17:08:07,0.15,-0.21,1.00,4.68,6.28,0.06
17:08:08,0.14,-0.18,0.98,4.74,6.39,0.14
17:08:09,0.15,-0.20,1.02,4.53,6.32,0.02
17:08:10,0.16,-0.19,1.03,4.51,6.38,0.00
17:08:11,0.15,-0.20,1.03,4.13,6.37,0.04
17:08:12,0.14,-0.18,1.02,3.03,6.22,0.19
17:08:13,0.16,-0.19,1.04,2.21,6.23,0.06
17:08:14,0.14,-0.21,1.05,1.28,6.25,0.15
17:08:15,0.16,-0.22,1.03,-0.20,6.21,0.11
17:08:16,0.13,-0.22,1.06,-1.16,6.26,0.20
17:08:17,0.16,-0.19,1.03,-2.13,6.27,0.03
17:08:18,0.17,-0.19,1.07,-2.77,6.29,0.08
17:08:19,0.17,-0.18,1.05,-3.15,6.35,0.03
17:08:20,0.15,-0.21,1.05,-3.93,6.21,0.11
17:08:21,0.13,-0.21,1.07,-4.82,6.24,0.16
17:08:22,0.15,-0.21,1.07,-4.54,6.20,0.18
